epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
37,5332.52,1.08852,0.72857,1.44134,0.00502,0.88233,0.87165,0.92907,0.66699,0.96414,0.68503,1.36777,0.00111,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,5468.77,1.07339,0.72957,1.42791,0.00542,0.87129,0.87318,0.92332,0.66676,0.9599,0.69027,1.37381,0.00103,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,5606.64,1.07361,0.72129,1.41964,0.00504,0.8888,0.85601,0.92555,0.6673,0.96256,0.68841,1.37614,0.0009,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,5744.17,1.06757,0.71869,1.42374,0.00505,0.90512,0.84941,0.92683,0.65441,0.98537,0.69105,1.36544,0.00122,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,5881.01,1.06157,0.71552,1.42675,0.00509,0.90764,0.85073,0.92402,0.63337,1.10283,0.71844,1.36067,0.00115,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,6017.11,1.0564,0.71569,1.4087,0.00566,0.89686,0.8679,0.92569,0.67107,0.9888,0.69214,1.35459,0.00099,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,6156.59,1.05093,0.71051,1.40965,0.00554,0.90201,0.85997,0.92526,0.68446,0.9169,0.67896,1.34967,0.00109,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,6295.46,1.05746,0.72367,1.3978,0.00552,0.89815,0.85865,0.92529,0.64965,1.01965,0.70789,1.34992,0.00133,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,6432.99,1.03811,0.70476,1.39208,0.0049,0.8985,0.86537,0.92351,0.66916,0.94047,0.67192,1.33553,0.00118,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,6571.53,1.04051,0.70104,1.3994,0.00485,0.89241,0.86561,0.9247,0.67798,0.93586,0.67832,1.33351,0.00112,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,6711.1,1.04397,0.7008,1.39218,0.00471,0.88146,0.86443,0.92414,0.6708,0.96254,0.68768,1.31209,0.00139,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,6848.92,1.01395,0.68691,1.37296,0.00477,0.88316,0.87979,0.92571,0.67562,0.9353,0.67093,1.31717,0.00128,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,6987.14,1.0263,0.69482,1.37302,0.00467,0.89556,0.86087,0.92334,0.67562,0.93599,0.66923,1.31275,0.00101,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,7128.41,1.04205,0.69758,1.37731,0.00523,0.8978,0.86394,0.92459,0.68365,0.9272,0.6626,1.31433,0.00094,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,7269.59,1.00956,0.67643,1.3695,0.00466,0.87624,0.87918,0.9279,0.68515,0.91253,0.66216,1.3105,0.00115,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,7409.88,1.00826,0.68532,1.36858,0.00521,0.8892,0.87318,0.92521,0.68014,0.94577,0.67421,1.3018,0.00128,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
