thr,nms_iou,min_aspect,nms_method,tp,fp,fn,precision,recall,f1
0.5,0.55,2.5,hard,765,131,290,0.8538,0.7251,0.7842
0.5,0.55,2.5,soft,780,2882,275,0.213,0.7393,0.3307
0.5,0.55,3.0,hard,754,115,301,0.8677,0.7147,0.7838
0.5,0.55,3.0,soft,774,2785,281,0.2175,0.7336,0.3355
0.55,0.35,2.0,hard,737,113,318,0.8671,0.6986,0.7738
0.55,0.35,2.0,soft,758,2755,297,0.2158,0.7185,0.3319
0.55,0.35,2.5,hard,737,107,318,0.8732,0.6986,0.7762
0.55,0.35,2.5,soft,758,2733,297,0.2171,0.7185,0.3335
0.55,0.35,3.0,hard,726,92,329,0.8875,0.6882,0.7752
0.55,0.35,3.0,soft,750,2639,305,0.2213,0.7109,0.3375
0.55,0.4,2.0,hard,737,114,318,0.866,0.6986,0.7733
0.55,0.4,2.0,soft,758,2755,297,0.2158,0.7185,0.3319
0.55,0.4,2.5,hard,737,108,318,0.8722,0.6986,0.7758
0.55,0.4,2.5,soft,758,2733,297,0.2171,0.7185,0.3335
0.55,0.4,3.0,hard,726,93,329,0.8864,0.6882,0.7748
0.55,0.4,3.0,soft,750,2639,305,0.2213,0.7109,0.3375
0.55,0.45,2.0,hard,738,121,317,0.8591,0.6995,0.7712
0.55,0.45,2.0,soft,758,2755,297,0.2158,0.7185,0.3319
0.55,0.45,2.5,hard,738,115,317,0.8652,0.6995,0.7736
0.55,0.45,2.5,soft,758,2733,297,0.2171,0.7185,0.3335
0.55,0.45,3.0,hard,727,100,328,0.8791,0.6891,0.7726
0.55,0.45,3.0,soft,750,2639,305,0.2213,0.7109,0.3375
0.55,0.5,2.0,hard,741,123,314,0.8576,0.7024,0.7723
0.55,0.5,2.0,soft,758,2755,297,0.2158,0.7185,0.3319
0.55,0.5,2.5,hard,741,117,314,0.8636,0.7024,0.7747
0.55,0.5,2.5,soft,758,2733,297,0.2171,0.7185,0.3335
0.55,0.5,3.0,hard,730,102,325,0.8774,0.6919,0.7737
0.55,0.5,3.0,soft,750,2639,305,0.2213,0.7109,0.3375
0.55,0.55,2.0,hard,743,127,312,0.854,0.7043,0.7719
0.55,0.55,2.0,soft,758,2755,297,0.2158,0.7185,0.3319
0.55,0.55,2.5,hard,743,120,312,0.861,0.7043,0.7748
0.55,0.55,2.5,soft,758,2733,297,0.2171,0.7185,0.3335
0.55,0.55,3.0,hard,732,105,323,0.8746,0.6938,0.7738
0.55,0.55,3.0,soft,750,2639,305,0.2213,0.7109,0.3375
0.6,0.35,2.0,hard,716,108,339,0.8689,0.6787,0.7621
0.6,0.35,2.0,soft,733,2552,322,0.2231,0.6948,0.3378
0.6,0.35,2.5,hard,716,102,339,0.8753,0.6787,0.7645
0.6,0.35,2.5,soft,733,2531,322,0.2246,0.6948,0.3394
0.6,0.35,3.0,hard,705,87,350,0.8902,0.6682,0.7634
0.6,0.35,3.0,soft,725,2437,330,0.2293,0.6872,0.3438
0.6,0.4,2.0,hard,716,108,339,0.8689,0.6787,0.7621
0.6,0.4,2.0,soft,733,2552,322,0.2231,0.6948,0.3378
0.6,0.4,2.5,hard,716,102,339,0.8753,0.6787,0.7645
0.6,0.4,2.5,soft,733,2531,322,0.2246,0.6948,0.3394
0.6,0.4,3.0,hard,705,87,350,0.8902,0.6682,0.7634
0.6,0.4,3.0,soft,725,2437,330,0.2293,0.6872,0.3438
0.6,0.45,2.0,hard,717,114,338,0.8628,0.6796,0.7603
0.6,0.45,2.0,soft,733,2552,322,0.2231,0.6948,0.3378
0.6,0.45,2.5,hard,717,108,338,0.8691,0.6796,0.7628
0.6,0.45,2.5,soft,733,2531,322,0.2246,0.6948,0.3394
0.6,0.45,3.0,hard,706,93,349,0.8836,0.6692,0.7616
0.6,0.45,3.0,soft,725,2437,330,0.2293,0.6872,0.3438
0.6,0.5,2.0,hard,718,114,337,0.863,0.6806,0.761
0.6,0.5,2.0,soft,733,2552,322,0.2231,0.6948,0.3378
0.6,0.5,2.5,hard,718,108,337,0.8692,0.6806,0.7634
0.6,0.5,2.5,soft,733,2531,322,0.2246,0.6948,0.3394
0.6,0.5,3.0,hard,707,93,348,0.8838,0.6701,0.7623
0.6,0.5,3.0,soft,725,2437,330,0.2293,0.6872,0.3438
0.6,0.55,2.0,hard,720,116,335,0.8612,0.6825,0.7615
0.6,0.55,2.0,soft,733,2552,322,0.2231,0.6948,0.3378
0.6,0.55,2.5,hard,720,110,335,0.8675,0.6825,0.7639
0.6,0.55,2.5,soft,733,2531,322,0.2246,0.6948,0.3394
0.6,0.55,3.0,hard,709,95,346,0.8818,0.672,0.7628
0.6,0.55,3.0,soft,725,2437,330,0.2293,0.6872,0.3438
